REF_DATE,GEO,DGUID,Value and volume,Imports and exports,Type of beverage,VALUE
1993,Canada,,Volume in litres,Imports,Spirits,19590
1993,Canada,,Volume in litres,Imports,Wines,148787
1993,Canada,,Volume in litres,Imports,Beer,63129
1993,Canada,,Volume in litres,Exports,Spirits,80927
1993,Canada,,Volume in litres,Exports,Wines,470
1993,Canada,,Volume in litres,Exports,Beer,263930
1993,Brazil,,Volume in litres,Imports,Spirits,3434
1993,Chile,,Volume in litres,Imports,Wines,12983
1993,France,,Volume in litres,Imports,Spirits,2183
1993,France,,Volume in litres,Imports,Wines,50790
1993,France,,Volume in litres,Exports,Spirits,846
1993,Germany,,Volume in litres,Imports,Wines,7079
1993,Germany,,Volume in litres,Imports,Beer,4387
1993,Guyana,,Volume in litres,Imports,Spirits,1597
1993,Italy,,Volume in litres,Imports,Wines,20253
1993,Jamaica,,Volume in litres,Imports,Spirits,1501
1993,Japan,,Volume in litres,Exports,Spirits,4661
1993,Mexico,,Volume in litres,Imports,Beer,6825
1993,Netherlands,,Volume in litres,Imports,Beer,5141
1993,Spain,,Volume in litres,Imports,Wines,7655
1993,Sweden,,Volume in litres,Exports,Spirits,460
1993,United Kingdom,,Volume in litres,Imports,Spirits,4320
1993,United Kingdom,,Volume in litres,Imports,Beer,3998
1993,United Kingdom,,Volume in litres,Exports,Spirits,3224
1993,United States,,Volume in litres,Imports,Spirits,1416
1993,United States,,Volume in litres,Imports,Wines,32336
1993,United States,,Volume in litres,Imports,Beer,35839
1993,United States,,Volume in litres,Exports,Spirits,69554
1993,United States,,Volume in litres,Exports,Beer,263930
1993,Other countries,,Volume in litres,Imports,Spirits,5139
1993,Other countries,,Volume in litres,Imports,Wines,17691
1993,Other countries,,Volume in litres,Imports,Beer,6939
1993,Other countries,,Volume in litres,Exports,Spirits,2182
1994,Canada,,Volume in litres,Imports,Spirits,20272
1994,Canada,,Volume in litres,Imports,Wines,158436
1994,Canada,,Volume in litres,Imports,Beer,55988
1994,Canada,,Volume in litres,Exports,Spirits,77681
1994,Canada,,Volume in litres,Exports,Wines,3299
1994,Canada,,Volume in litres,Exports,Beer,329357
1994,Australia,,Volume in litres,Imports,Wines,6886
1994,Brazil,,Volume in litres,Imports,Spirits,2938
1994,Chile,,Volume in litres,Imports,Wines,15404
1994,France,,Volume in litres,Imports,Spirits,2382
1994,France,,Volume in litres,Imports,Wines,52607
1994,France,,Volume in litres,Exports,Spirits,
1994,Germany,,Volume in litres,Imports,Wines,0
1994,Germany,,Volume in litres,Imports,Beer,4898
1994,Guyana,,Volume in litres,Imports,Spirits,1591
1994,Italy,,Volume in litres,Imports,Wines,25301
1994,Jamaica,,Volume in litres,Imports,Spirits,1671
1994,Japan,,Volume in litres,Exports,Spirits,5071
1994,Mexico,,Volume in litres,Imports,Beer,4628
1994,Netherlands,,Volume in litres,Imports,Beer,5634
1994,Spain,,Volume in litres,Imports,Wines,7690
1994,Sweden,,Volume in litres,Exports,Spirits,0
1994,Thailand,,Volume in litres,Exports,Spirits,1015
1994,United Kingdom,,Volume in litres,Imports,Spirits,4670
1994,United Kingdom,,Volume in litres,Imports,Beer,5163
1994,United Kingdom,,Volume in litres,Exports,Spirits,2608
1994,United States,,Volume in litres,Imports,Spirits,1715
1994,United States,,Volume in litres,Imports,Wines,32989
1994,United States,,Volume in litres,Imports,Beer,27134
1994,United States,,Volume in litres,Exports,Spirits,64601
1994,United States,,Volume in litres,Exports,Wines,2876
1994,United States,,Volume in litres,Exports,Beer,329357
1994,Other countries,,Volume in litres,Imports,Spirits,5305
1994,Other countries,,Volume in litres,Imports,Wines,17559
1994,Other countries,,Volume in litres,Imports,Beer,8531
1994,Other countries,,Volume in litres,Exports,Spirits,4386
1994,Other countries,,Volume in litres,Exports,Wines,423
1995,Canada,,Volume in litres,Imports,Spirits,21204
1995,Canada,,Volume in litres,Imports,Wines,163367
1995,Canada,,Volume in litres,Imports,Beer,73978
1995,Canada,,Volume in litres,Exports,Spirits,74393
1995,Canada,,Volume in litres,Exports,Wines,3400
1995,Canada,,Volume in litres,Exports,Beer,367194
1995,Australia,,Volume in litres,Imports,Wines,0
1995,Brazil,,Volume in litres,Imports,Spirits,2350
1995,Chile,,Volume in litres,Imports,Wines,15850
1995,France,,Volume in litres,Imports,Spirits,2058
1995,France,,Volume in litres,Imports,Wines,55559
1995,France,,Volume in litres,Exports,Spirits,
1995,Germany,,Volume in litres,Imports,Wines,6624
1995,Germany,,Volume in litres,Imports,Beer,5315
1995,Guyana,,Volume in litres,Imports,Spirits,2008
1995,Italy,,Volume in litres,Imports,Wines,25864
1995,Jamaica,,Volume in litres,Imports,Spirits,0
1995,Japan,,Volume in litres,Exports,Spirits,3036
1995,Mexico,,Volume in litres,Imports,Beer,6590
1995,Netherlands,,Volume in litres,Imports,Beer,6007
1995,Spain,,Volume in litres,Imports,Wines,6384
1995,Sweden,,Volume in litres,Exports,Spirits,0
