school,sex,age,address,internet,romantic,absences
GP,F,18,U,no,no,6
GP,F,17,U,yes,no,4
GP,F,15,U,yes,no,10
GP,F,15,U,yes,yes,2
GP,F,16,U,no,no,4
GP,M,16,U,yes,no,10
GP,M,16,U,yes,no,0
GP,F,17,U,no,no,6
GP,M,15,U,yes,no,0
GP,M,15,U,yes,no,0
GP,F,15,U,yes,no,0
GP,F,15,U,yes,no,4
GP,M,15,U,yes,no,2
GP,M,15,U,yes,no,2
GP,M,15,U,yes,yes,0
GP,F,16,U,yes,no,4
GP,F,16,U,yes,no,6
GP,F,16,U,no,no,4
GP,M,17,U,yes,no,16
GP,M,16,U,yes,no,4
GP,M,15,U,yes,no,0
GP,M,15,U,yes,no,0
GP,M,16,U,yes,no,2
GP,M,16,U,yes,no,0
GP,F,15,R,yes,no,2
GP,F,16,U,yes,no,14
GP,M,15,U,yes,no,2
GP,M,15,U,yes,no,4
GP,M,16,U,yes,no,4
GP,M,16,U,yes,yes,16
GP,M,15,U,yes,no,0
GP,M,15,U,yes,no,0
GP,M,15,R,yes,yes,0
GP,M,15,U,yes,no,0
GP,M,16,U,yes,no,0
GP,F,15,U,no,no,0
GP,M,15,U,yes,no,2
GP,M,16,R,yes,yes,7
GP,F,15,R,yes,no,2
GP,F,15,R,no,no,8
GP,F,16,U,yes,yes,25
GP,M,15,U,yes,yes,8
GP,M,15,U,yes,no,2
GP,M,15,U,yes,no,0
GP,F,16,U,yes,no,14
GP,F,15,U,yes,yes,8
GP,F,16,U,yes,no,12
GP,M,16,U,yes,no,4
GP,M,15,U,no,no,2
GP,F,15,U,yes,no,2
GP,F,16,U,yes,no,2
GP,F,15,U,yes,no,2
GP,M,15,U,no,no,6
GP,F,15,U,yes,no,0
GP,F,15,U,yes,no,6
GP,F,16,U,yes,yes,8
GP,F,15,U,yes,no,0
GP,M,15,U,no,no,4
GP,M,15,U,yes,no,2
GP,F,16,U,yes,no,2
GP,F,16,R,no,no,6
GP,F,16,U,yes,yes,6
GP,F,16,U,yes,no,4
GP,F,16,U,yes,no,2
GP,F,15,U,yes,yes,0
GP,F,16,U,yes,no,2
GP,M,15,U,yes,yes,4
GP,F,16,U,yes,no,4
GP,F,15,R,yes,no,2
GP,F,15,R,yes,no,12
GP,M,16,U,yes,no,0
GP,M,15,U,yes,no,0
GP,F,15,R,yes,yes,2
GP,M,16,U,no,no,2
GP,F,16,U,yes,no,54
GP,M,15,U,yes,no,6
GP,M,15,U,yes,no,8
GP,F,16,U,yes,yes,0
GP,M,17,U,yes,no,2
GP,F,16,U,yes,no,12
GP,M,15,U,yes,yes,2
GP,M,15,U,yes,no,4
GP,F,15,U,yes,no,10
GP,M,15,U,yes,no,4
GP,F,15,U,yes,no,2
GP,F,15,U,yes,yes,6
GP,F,16,U,no,no,4
GP,F,15,U,yes,no,4
GP,M,16,U,yes,no,12
GP,M,16,U,no,no,18
GP,F,16,U,yes,yes,0
GP,F,15,U,yes,no,4
GP,F,16,U,no,no,4
GP,F,16,U,yes,no,0
GP,M,15,U,yes,no,6
GP,F,15,R,yes,no,2
GP,M,16,R,yes,no,2
GP,F,16,U,no,yes,2
GP,F,16,U,yes,no,6
GP,F,16,U,yes,no,0
GP,M,16,U,yes,no,14
GP,M,16,U,yes,yes,0
GP,M,15,U,yes,no,4
GP,F,15,U,yes,no,26
GP,M,15,U,yes,no,0
GP,F,15,U,no,no,10
GP,F,15,U,yes,no,8
GP,M,16,U,yes,no,2
GP,M,15,R,yes,yes,6
GP,F,16,U,yes,yes,4
GP,M,15,U,yes,no,6
GP,F,16,R,yes,no,0
